"Rowid","ASIN","Name of Product","Price of Product","Availability",
"0","B00D1SZNO6","Avanti RA7316PST 2-Door Apartment Size Refrigerator  Black with Platinum Finish","416.00"," In Stock. ",
"1","B0036DEA86","Dainolite DM217F-SC Floor Lamp with White Frosted Glass Shade  Satin Chrome","376.98"," Only 2 left in stock (more on the way). ",
"2","B0041G5RW0","Kenroy Home 21065NR Sheaf Floor Lamp  Natural Reed","84.99"," Only 5 left in stock (more on the way). ",
"3","B004Z1YMJK","Kenroy Home 32158BRZ McIntosh Floor Lamp",""," Only 5 left in stock. ",
"4","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"5","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"6","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"7","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"8","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"9","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"10","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"11","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"12","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"13","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"14","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"15","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"16","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"17","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"18","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"19","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
"20","B00H7WBHM4","Goliton(r) Sport Gym hand gripper Adjustable 11-44 lb grip strengthener exerciser wrist strength training-purple","8.95"," Only 12 left in stock. ",
